10,02,00,00,38,20,79,20,40,20,12,20,02,20,12,20,22,20,11,20,01,20,07,1f,f9,1f,fe,20,2d,20,07,1f,de,1f,e4,1f,fd,1f,f7,1f,f9,1f,c9,1f,cf,1f,e4,1f,d4,20,0b,20,20,20,24,20,22,1f,f9,20,29,20,42,20,32,20,2c,20,2d,20,30,20,3f,20,14,1f,ee,1f,d7,1f,a6,EOP
10,02,00,00,39,1f,9f,1f,bb,1f,ef,20,1c,20,27,20,3f,20,27,20,4d,20,76,20,7a,20,83,20,68,20,33,20,20,1f,f1,20,14,20,20,20,3f,20,2d,20,11,1f,ed,1f,d8,1f,ba,1f,b3,1f,be,1f,b3,1f,c9,1f,f2,1f,dc,1f,da,1f,ca,1f,d9,1f,d3,1f,e2,1f,d7,1f,f9,1f,f1,1f,ee,EOP
10,02,00,00,3a,1f,f5,1f,f8,20,04,20,39,20,3a,20,03,20,2a,20,41,20,39,20,54,20,4e,20,53,20,2b,20,4f,20,36,20,12,1f,d7,1f,e2,20,18,20,3d,20,48,20,5a,20,3d,20,44,20,31,20,29,20,25,20,1f,20,4a,20,6c,20,68,20,4f,20,10,20,44,20,3c,20,5b,20,4c,20,34,EOP
10,02,00,00,3b,20,1a,1f,f5,1f,f1,1f,c1,1f,d8,1f,b8,1f,ce,1f,db,1f,e0,1f,ea,20,35,20,34,20,0c,20,27,20,23,20,2b,20,34,20,31,20,03,1f,e2,1f,a4,1f,93,1f,c2,1f,b6,1f,b0,1f,d7,1f,c3,1f,c6,1f,94,1f,c4,20,12,20,43,20,75,20,9e,20,84,20,8e,20,62,20,8d,EOP
10,02,00,00,3c,20,9f,20,83,20,50,20,36,20,1f,20,01,20,0b,1f,cf,1f,d9,1f,b3,1f,71,1f,71,1f,80,1f,be,20,01,20,18,20,39,20,54,20,56,20,42,20,4e,20,58,20,3b,20,35,20,10,20,3a,20,37,20,2f,20,42,20,3e,20,5e,20,67,20,48,20,6a,20,60,20,28,20,60,20,7c,EOP
10,02,00,00,3d,20,84,20,8d,20,a0,20,81,20,53,20,15,1f,a4,1e,f7,1e,68,1d,fd,1d,8a,1d,7c,1d,af,1d,f6,1e,b2,1f,86,20,7d,21,41,21,ec,22,8f,23,28,23,51,23,46,23,01,22,70,21,e4,21,7a,20,dd,20,76,20,20,1f,a9,1f,62,1f,0f,1e,db,1e,e1,1e,d8,1e,cc,1e,c3,EOP
10,02,00,00,3e,1f,17,1f,36,1f,7e,1f,94,1f,dd,1f,f5,20,0f,20,08,20,29,20,53,20,5b,20,33,20,1f,20,12,1f,df,1f,ea,20,15,1f,e3,20,09,1f,df,1f,d9,20,03,20,1e,1f,ff,20,1e,20,04,20,1c,20,2a,20,2a,20,3b,20,1e,20,10,20,34,20,3f,20,78,20,99,20,91,20,a8,EOP
10,02,00,00,3f,20,ac,20,9e,20,83,20,75,20,75,20,65,20,83,20,73,20,59,20,4d,20,53,20,54,20,41,20,38,20,38,20,33,20,19,1f,f6,20,0e,20,17,1f,f0,1f,d7,20,0f,20,56,20,62,20,26,20,27,1f,f9,1f,f8,1f,da,1f,8f,1f,7f,1f,96,1f,b4,1f,de,20,04,1f,fc,20,02,EOP
10,02,00,00,40,1f,df,20,19,20,2b,20,43,20,34,20,3b,20,13,20,3a,20,2a,20,38,20,65,20,6e,20,74,20,70,20,65,20,c3,20,a9,20,ec,21,1d,21,11,21,57,21,3c,21,1f,20,e9,20,bd,20,a9,20,61,20,19,1f,f3,1f,dd,1f,af,1f,af,1f,ba,1f,cb,1f,ba,1f,c2,20,0c,20,27,EOP
10,02,00,00,41,20,65,20,a9,20,98,20,85,20,79,20,6c,20,cc,20,d3,20,f6,21,1c,21,38,21,59,21,4d,21,26,21,14,20,e8,20,b9,20,97,20,b1,20,a6,20,7f,20,93,20,a6,20,b0,20,d8,20,a4,20,c7,20,b1,20,a1,20,93,20,99,20,9d,20,bc,20,96,20,31,20,21,20,27,20,1b,EOP
